Stock quote and option quote for AIG on 7/1/19 17:55:49

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.84,N,+.56,53.60,P,53.99,P,4 x 4,"3,199,846",53.53,53.97,53.17

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.38%,-185.7,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.8

Theo parameters
Theo date,Theo stock price,Theo volatility
7/1/19, 0.00$, 0.00%

5 JUL 19  (4)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190809C50,0,0,.784,.054,-.019,.052,.034,29.93%,4.50,<empty>,<empty>,75.68%,11.19%,11.19%,4.500,60 x 76,60,76,<empty>,0,0, ,0,0,24.32%,47.24%,4.35,M,4.65,C,9 AUG 19,50,.46,B,.57,N,AIG190809P50,0,0,-.189,.057,-.016,.048,-.012,26.69%,.51504804,7.43%,1.04%,21.42%,8.73%,<empty>,.515,17 x 3,17,3,<empty>,0,0, ,0,0,78.58%,41.77%,,
,,AIG190809C51,0,0,.732,.065,-.020,.058,.034,28.18%,3.68,<empty>,<empty>,70.30%,14.16%,14.16%,3.675,69 x 20,69,20,<empty>,0,0, ,0,0,29.70%,57.68%,3.55,I,3.80,X,9 AUG 19,51,.60,X,.84,X,AIG190809P51,10,0,-.250,.069,-.018,.057,-.015,25.93%,.72031446,9.08%,1.43%,27.86%,12.21%,<empty>,.720,514 x 523,514,523,<empty>,.76,.76,I,.81,.76,72.14%,54.26%,,
,,AIG190809C52,10,0,.664,.074,-.022,.065,.033,27.31%,2.96,<empty>,<empty>,63.23%,18.91%,18.91%,2.955,3 x 2,3,2,<empty>,2.64,2.64,Z,2.64,2.64,36.77%,71.29%,2.86,Q,3.05,Q,9 AUG 19,52,.84,C,1.06,M,AIG190809P52,0,26,-.320,.082,-.019,.064,-.019,24.56%,.95004454,10.64%,1.86%,34.99%,16.11%,<empty>,.950,143 x 59,143,59,0.00%,1.50,1.50,Z,0,0,65.01%,68.08%,,
,,AIG190809C53,0,2,.586,.081,-.023,.069,.030,26.81%,2.33,<empty>,<empty>,55.22%,25.27%,25.27%,2.330,17 x 183,17,183,0.00%,1.97,1.97,I,0,0,44.78%,86.62%,2.22,B,2.44,C,9 AUG 19,53,1.21,I,1.37,M,AIG190809P53,0,1,-.405,.091,-.020,.069,-.024,23.78%,1.29,12.99%,2.49%,43.70%,21.88%,<empty>,1.290,50 x 120,50,120,0.00%,1.58,1.58,Z,0,0,56.30%,84.85%,,
,,AIG190809C54,14,776,.501,.087,-.023,.071,.027,25.80%,1.75,<empty>,<empty>,46.85%,29.68%,32.39%,1.750,68 x 71,68,71,+4.79%,1.53,1.53,Z,1.53,1.53,53.15%,97.08%,1.68,M,1.82,M,9 AUG 19,54,1.67,C,1.84,M,AIG190809P54,0,0,-.499,.095,-.021,.071,-.029,23.52%,1.75,16.30%,3.36%,53.14%,27.05%,<empty>,1.755,69 x 59,69,59,<empty>,0,0, ,0,0,46.86%,96.81%,,
,,AIG190809C55,20,22,.412,.088,-.021,.069,.022,24.88%,1.26,<empty>,<empty>,38.14%,21.37%,41.04%,1.260,517 x 432,517,432,+15.53%,1.19,1.19,I,1.19,1.00,61.86%,78.68%,1.11,C,1.41,C,9 AUG 19,55,2.13,C,2.59,X,AIG190809P55,0,0,-.590,.091,-.021,.069,-.034,23.94%,2.36,21.92%,4.48%,62.19%,20.35%,<empty>,2.360,240 x 177,240,177,<empty>,0,0, ,0,0,37.81%,77.90%,,
,,AIG190809C56,4,0,.328,.082,-.020,.064,.018,24.64%,.90509385,<empty>,<empty>,29.98%,15.35%,51.98%,.905,17 x 178,17,178,<empty>,.75,.75,N,.77,.75,70.02%,61.66%,.83,B,.98,X,9 AUG 19,56,2.73,B,3.00,B,AIG190809P56,0,0,-.697,.091,-.016,.062,-.040,21.44%,2.87,26.61%,5.39%,72.30%,11.96%,<empty>,2.865,48 x 48,48,48,<empty>,0,0, ,0,0,27.70%,56.72%,,
,,AIG190809C57,315,0,.249,.074,-.017,.057,.014,24.16%,.61501717,<empty>,<empty>,22.51%,10.43%,64.02%,.615,65 x 69,65,69,<empty>,.52,.52,N,.52,.52,77.49%,46.15%,.55,C,.68,M,9 AUG 19,57,3.45,M,3.80,C,AIG190809P57,0,0,-.778,.078,-.014,.053,-.044,21.41%,3.63,33.66%,6.79%,80.02%,7.89%,<empty>,3.625,46 x 131,46,131,<empty>,0,0, ,0,0,19.98%,40.83%,,
,,AIG190809C58,347,0,.183,.062,-.014,.047,.010,23.92%,.41012232,<empty>,<empty>,16.32%,6.95%,77.51%,.410,40 x 64,40,64,<empty>,.35,.35,N,.35,.33,83.68%,33.38%,.35,M,.47,M,9 AUG 19,58,4.30,C,4.55,M,AIG190809P58,0,0,-.853,.062,-.010,.041,-.053,20.68%,4.43,41.09%,8.26%,86.95%,4.49%,<empty>,4.425,53 x 56,53,56,<empty>,0,0, ,0,0,13.05%,26.60%,,
,,AIG190809C59,0,0,.134,.050,-.012,.039,.008,24.14%,.28030794,<empty>,<empty>,11.76%,4.75%,92.26%,.280,36 x 37,36,37,<empty>,0,0, ,0,0,88.24%,24.01%,.23,M,.33,M,9 AUG 19,59,5.15,M,5.40,C,AIG190809P59,0,0,-.919,.044,-.006,.026,-.075,19.20%,5.28,48.99%,9.82%,92.98%,1.95%,<empty>,5.275,47 x 36,47,36,<empty>,0,0, ,0,0,7.02%,14.26%,,
,,AIG190809C60,0,0,.108,.041,-.011,.033,.006,25.68%,.23033574,<empty>,<empty>,9.36%,3.90%,108.37%,.230,46 x 179,46,179,<empty>,0,0, ,0,0,90.64%,19.12%,.12,M,.34,X,9 AUG 19,60,5.95,B,6.45,B,AIG190809P60,0,0,-.963,.026,-.003,.014,-.148,17.94%,6.20,57.58%,11.52%,96.83%,0.68%,<empty>,6.200,50 x 24,50,24,<empty>,0,0, ,0,0,3.17%,6.42%,,

16 AUG 19  (46)  100
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190816C35,0,12,.908,.002,-.019,.023,.008,80.34%,18.93,<empty>,<empty>,91.14%,1.23%,1.23%,18.925,48 x 48,48,48,0.00%,18.25,18.25,Q,0,0,8.86%,16.66%,18.60,B,19.25,B,16 AUG 19,35,0,W,.43,M,AIG190816P35,0,542,-.036,.006,-.012,.015,-.003,71.67%,.21508426,6.14%,0.62%,6.10%,3.10%,<empty>,.215,0 x 90,0,90,0.00%,.12,.12,X,0,0,93.90%,11.59%,,
,,AIG190816C36,0,123,.907,.003,-.020,.025,.011,77.49%,18.00,<empty>,<empty>,90.46%,2.31%,2.31%,18.000,48 x 64,48,64,0.00%,17.45,17.45,Q,0,0,9.54%,17.96%,17.40,B,18.60,B,16 AUG 19,36,0,Q,.38,B,AIG190816P36,0,64,-.035,.006,-.010,.015,-.003,66.05%,.19005801,5.28%,0.53%,5.71%,2.74%,<empty>,.190,0 x 173,0,173,0.00%,.18,.18,Z,0,0,94.29%,10.89%,,
,,AIG190816C37,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,-5.27%,0.00%,16.475,48 x 64,48,64,<empty>,0,0, ,0,0,0.00%,<empty>,15.00,B,17.95,B,16 AUG 19,37,0,Q,.38,B,AIG190816P37,0,43,-.037,.007,-.010,.015,-.003,62.23%,.19001975,5.14%,0.52%,5.84%,2.74%,<empty>,.190,0 x 173,0,173,0.00%,.05,.05,E,0,0,94.16%,11.17%,,
,,AIG190816C38,0,0,.907,.005,-.019,.026,.015,69.40%,16.08,<empty>,<empty>,89.87%,3.39%,3.39%,16.075,48 x 48,48,48,0.00%,14.81,14.81,M,0,0,10.13%,19.16%,15.05,B,17.10,B,16 AUG 19,38,0,T,.39,E,AIG190816P38,0,925,-.039,.007,-.010,.016,-.003,58.80%,.19500951,5.13%,0.52%,6.11%,2.81%,<empty>,.195,0 x 247,0,247,0.00%,.25,.25,Z,0,0,93.89%,11.70%,,
,,AIG190816C39,0,2,.908,.006,-.018,.027,.016,64.29%,15.08,<empty>,<empty>,90.01%,3.39%,3.39%,15.075,48 x 48,48,48,0.00%,13.82,13.82,C,0,0,9.99%,18.98%,14.70,B,15.45,B,16 AUG 19,39,0,Q,.40,X,AIG190816P39,0,124,-.043,.008,-.010,.018,-.003,55.42%,.20005953,5.13%,0.52%,6.40%,2.89%,<empty>,.200,0 x 335,0,335,0.00%,.07,.07,P,0,0,93.60%,12.29%,,
,,AIG190816C40,0,11,.910,.006,-.016,.026,.017,58.47%,14.05,<empty>,<empty>,90.51%,3.03%,3.03%,14.050,48 x 48,48,48,0.00%,12.70,12.70,X,0,0,9.49%,18.12%,13.75,B,14.35,B,16 AUG 19,40,.04,H,.11,B,AIG190816P40,0,656,-.023,.007,-.005,.011,-.002,43.13%,.07507413,1.88%,0.19%,3.27%,1.08%,<empty>,.075,26 x 189,26,189,0.00%,.29,.29,X,0,0,96.73%,6.36%,,
,,AIG190816C41,0,286,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,-1.66%,0.00%,12.725,48 x 48,48,48,0.00%,10.00,10.00,X,0,0,0.00%,<empty>,12.20,B,13.25,B,16 AUG 19,41,.01,X,.42,X,AIG190816P41,0,164,-.051,.011,-.011,.020,-.004,49.02%,.21529111,5.24%,0.53%,7.21%,3.10%,<empty>,.215,118 x 465,118,465,0.00%,.12,.12,M,0,0,92.79%,13.88%,,
,,AIG190816C42,0,605,.911,.009,-.014,.027,.020,49.37%,12.05,<empty>,<empty>,90.54%,3.03%,3.03%,12.050,48 x 48,48,48,0.00%,11.80,11.80,C,0,0,9.46%,18.18%,11.40,B,12.70,B,16 AUG 19,42,.02,X,.44,X,AIG190816P42,0,454,-.057,.013,-.011,.022,-.004,46.16%,.23007381,5.48%,0.55%,7.84%,3.32%,<empty>,.230,165 x 310,165,310,0.00%,.16,.16,X,0,0,92.16%,15.12%,,
,,AIG190816C43,0,68,.900,.013,-.015,.031,.024,48.50%,11.15,<empty>,<empty>,88.58%,4.47%,4.47%,11.150,48 x 48,48,48,0.00%,10.77,10.77,X,0,0,11.42%,21.94%,10.65,B,11.65,B,16 AUG 19,43,.05,X,.17,X,AIG190816P43,0,685,-.037,.012,-.006,.016,-.003,36.50%,.11026811,2.56%,0.26%,4.94%,1.59%,<empty>,.110,70 x 482,70,482,0.00%,.22,.22,C,0,0,95.06%,9.62%,,
,,AIG190816C44,0,103,.903,.014,-.013,.030,.025,42.69%,10.10,<empty>,<empty>,89.26%,3.75%,3.75%,10.100,48 x 48,48,48,0.00%,9.67,9.67,B,0,0,10.74%,20.74%,9.70,B,10.50,B,16 AUG 19,44,.07,X,.43,X,AIG190816P44,0,"1,406",-.069,.017,-.011,.026,-.005,39.93%,.25002462,5.68%,0.57%,9.07%,3.61%,<empty>,.250,48 x 451,48,451,0.00%,.19,.19,N,0,0,90.93%,17.57%,,
,,AIG190816C45,0,308,.911,.015,-.011,.029,.024,36.16%,9.03,<empty>,<empty>,90.60%,2.67%,2.67%,9.025,48 x 48,48,48,0.00%,8.80,8.80,Z,0,0,9.40%,18.25%,8.65,B,9.40,B,16 AUG 19,45,.12,I,.20,X,AIG190816P45,10,525,-.057,.018,-.008,.022,-.004,32.78%,.1600152,3.56%,0.36%,7.15%,2.31%,<empty>,.160,46 x 166,46,166,-10.53%,.17,.17,T,.17,.17,92.85%,13.93%,,
,,AIG190816C46,0,122,.885,.022,-.014,.036,.031,36.92%,8.18,<empty>,<empty>,86.88%,4.84%,4.84%,8.175,48 x 48,48,48,0.00%,6.98,6.98,X,0,0,13.12%,25.40%,7.85,B,8.50,B,16 AUG 19,46,.16,X,.20,N,AIG190816P46,0,478,-.067,.022,-.008,.025,-.005,30.37%,.18003883,3.91%,0.39%,8.25%,2.60%,<empty>,.180,47 x 3,47,3,0.00%,.25,.25,X,0,0,91.75%,16.10%,,
,,AIG190816C47,0,388,.874,.028,-.013,.039,.034,33.64%,7.20,<empty>,<empty>,85.64%,5.20%,5.20%,7.200,49 x 17,49,17,0.00%,6.77,6.77,X,0,0,14.36%,27.87%,7.05,B,7.35,B,16 AUG 19,47,.21,X,.28,X,AIG190816P47,2,595,-.089,.029,-.010,.031,-.006,29.32%,.24503317,5.21%,0.52%,10.79%,3.54%,<empty>,.245,48 x 153,48,153,-41.86%,.25,.25,A,.25,.25,89.21%,21.05%,,
,,AIG190816C48,1,773,.852,.035,-.014,.044,.037,31.50%,6.28,<empty>,<empty>,83.10%,6.28%,6.28%,6.275,41 x 161,41,161,-1.51%,5.86,5.86,C,5.86,5.86,16.90%,32.81%,6.15,X,6.40,X,16 AUG 19,48,.27,Z,.33,I,AIG190816P48,0,"2,098",-.112,.036,-.011,.037,-.008,27.43%,.30022309,6.09%,0.63%,13.22%,4.33%,<empty>,.300,8 x 64,8,64,0.00%,.45,.45,Q,0,0,86.78%,25.80%,,
,,AIG190816C49,54,"1,156",.812,.043,-.017,.051,.039,31.05%,5.45,<empty>,<empty>,78.48%,8.80%,8.80%,5.450,4 x 391,4,391,+30.19%,5.39,5.39,A,5.40,4.95,21.52%,41.72%,5.30,B,5.60,C,16 AUG 19,49,.38,Z,.44,P,AIG190816P49,28,873,-.149,.045,-.013,.045,-.011,26.42%,.40999825,6.92%,0.84%,17.24%,5.92%,<empty>,.410,5 x 3,5,3,-22.03%,.46,.46,I,.50,.46,82.76%,33.60%,,
,,AIG190816C50,45,"3,355",.771,.052,-.018,.058,.040,29.41%,4.60,<empty>,<empty>,74.12%,10.97%,10.97%,4.600,44 x 391,44,391,+15.19%,4.55,4.55,Q,4.55,4.15,25.88%,50.15%,4.45,X,4.75,X,16 AUG 19,50,.53,Z,.58,N,AIG190816P50,2,"2,670",-.195,.056,-.014,.053,-.014,25.38%,.55503745,8.01%,1.12%,22.20%,8.01%,<empty>,.555,10 x 3,10,3,-11.84%,.67,.67,M,.67,.64,77.80%,43.25%,,
,,AIG190816C52.5,92,"1,056",.623,.076,-.020,.073,.037,25.70%,2.69,<empty>,<empty>,58.92%,19.41%,19.41%,2.685,46 x 46,46,46,+13.92%,2.70,2.70,H,2.73,2.32,41.08%,79.47%,2.64,X,2.73,X,16 AUG 19,52.5,1.15,P,1.24,X,AIG190816P52.5,"1,212","2,782",-.366,.083,-.018,.073,-.026,23.48%,1.20,12.68%,2.33%,39.93%,17.25%,<empty>,1.195,21 x 74,21,74,-18.54%,1.23,1.23,I,1.37,1.22,60.07%,77.47%,,
,,AIG190816C55,"1,166","3,355",.418,.083,-.019,.075,.027,24.23%,1.36,<empty>,<empty>,38.57%,19.56%,36.30%,1.355,9 x 4,9,4,+12.50%,1.35,1.35,X,1.42,1.07,61.43%,79.72%,1.29,Q,1.42,P,16 AUG 19,55,2.27,B,2.39,Q,AIG190816P55,"1,003","1,487",-.592,.092,-.017,.075,-.040,21.69%,2.33,21.64%,4.42%,62.36%,16.89%,<empty>,2.330,48 x 8,48,8,-17.83%,2.35,2.35,C,2.66,2.35,37.64%,77.52%,,
,,AIG190816C57.5,"4,448","2,187",.227,.067,-.014,.058,.015,23.33%,.5700289,<empty>,<empty>,20.34%,8.23%,61.05%,.570,57 x 4,57,4,+11.36%,.49,.49,N,.50,.43,79.66%,41.72%,.52,X,.62,B,16 AUG 19,57.5,4.00,X,4.15,M,AIG190816P57.5,0,21,-.802,.070,-.012,.053,-.054,20.58%,4.08,37.84%,7.63%,82.39%,5.99%,<empty>,4.075,57 x 55,57,55,0.00%,4.70,4.70,P,0,0,17.61%,36.00%,,
,,AIG190816C60,0,492,.107,.040,-.009,.036,.007,23.55%,.22532695,<empty>,<empty>,9.24%,3.25%,92.16%,.225,59 x 57,59,57,0.00%,.18,.18,E,0,0,90.76%,18.87%,.19,X,.26,X,16 AUG 19,60,6.05,B,6.40,B,AIG190816P60,0,31,-.949,.030,-.004,.020,-.130,18.04%,6.23,57.81%,11.58%,95.63%,0.94%,<empty>,6.225,48 x 6,48,6,0.00%,6.84,6.84,B,0,0,4.37%,8.88%,,

20 SEP 19  (81)  100
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190920C40,0,0,.901,.008,-.011,.038,.033,47.58%,14.15,<empty>,<empty>,88.57%,2.56%,2.56%,14.150,48 x 58,48,58,<empty>,0,0, ,0,0,11.43%,21.70%,13.95,B,14.35,E,20 SEP 19,40,.03,X,.50,X,AIG190920P40,0,0,-.054,.010,-.007,.028,-.007,41.71%,.26522867,6.63%,0.67%,8.03%,2.19%,<empty>,.265,451 x 436,451,436,<empty>,0,0, ,0,0,91.97%,15.38%,,
,,AIG190920C45,0,0,.873,.020,-.010,.050,.053,33.97%,9.30,<empty>,<empty>,84.89%,3.81%,3.81%,9.300,50 x 65,50,65,<empty>,0,0, ,0,0,15.11%,29.01%,9.05,B,9.55,C,20 SEP 19,45,.27,I,.31,D,AIG190920P45,0,17,-.082,.021,-.007,.039,-.010,28.65%,.29000511,6.44%,0.65%,10.54%,2.40%,<empty>,.290,60 x 55,60,55,0.00%,.39,.39,W,0,0,89.46%,20.41%,,
,,AIG190920C50,0,6,.738,.047,-.013,.082,.067,26.51%,4.93,<empty>,<empty>,69.98%,8.98%,8.98%,4.925,7 x 151,7,151,0.00%,4.20,4.20,P,0,0,30.02%,57.71%,4.85,Z,5.00,X,20 SEP 19,50,.91,H,.97,H,AIG190920P50,22,164,-.242,.050,-.012,.079,-.030,24.33%,.94023232,13.57%,1.92%,28.04%,7.78%,<empty>,.940,39 x 90,39,90,-20.16%,.99,.99,N,1.03,.99,71.96%,54.11%,,
,,AIG190920C52.5,15,4,.606,.062,-.014,.097,.061,24.09%,3.12,<empty>,<empty>,56.41%,14.77%,14.77%,3.125,65 x 203,65,203,-2.11%,2.78,2.78,E,2.81,2.78,43.59%,83.59%,3.05,M,3.20,X,20 SEP 19,52.5,1.65,I,1.76,X,AIG190920P52.5,18,0,-.387,.065,-.014,.097,-.047,23.06%,1.70,18.08%,3.36%,43.11%,14.11%,<empty>,1.705,49 x 189,49,189,<empty>,1.85,1.85,Q,1.85,1.85,56.89%,82.82%,,
,,AIG190920C55,9,227,.439,.068,-.014,.100,.047,22.65%,1.78,<empty>,<empty>,39.94%,14.73%,24.32%,1.780,24 x 164,24,164,-1.99%,1.48,1.48,E,1.65,1.47,60.06%,83.30%,1.73,B,1.83,X,20 SEP 19,55,2.80,X,2.95,X,AIG190920P55,0,2,-.559,.070,-.013,.100,-.066,21.91%,2.87,26.70%,5.52%,60.26%,14.19%,<empty>,2.875,609 x 158,609,158,0.00%,3.60,3.60,T,0,0,39.74%,82.78%,,
,,AIG190920C57.5,0,11,.274,.061,-.011,.085,.031,21.53%,.88031437,<empty>,<empty>,24.24%,7.28%,37.56%,.880,71 x 11,71,11,0.00%,.74,.74,W,0,0,75.76%,50.11%,.85,X,.91,H,20 SEP 19,57.5,4.45,X,4.65,X,AIG190920P57.5,4,0,-.720,.061,-.011,.085,-.083,21.66%,4.55,42.25%,8.59%,75.64%,7.36%,<empty>,4.550,156 x 294,156,294,<empty>,4.84,4.84,X,4.85,4.84,24.36%,50.37%,,
,,AIG190920C60,0,163,.151,.043,-.008,.060,.017,21.22%,.40537987,<empty>,<empty>,12.91%,3.35%,54.31%,.405,109 x 282,109,282,0.00%,.33,.33,Z,0,0,87.09%,26.55%,.37,M,.44,X,20 SEP 19,60,6.40,X,6.65,X,AIG190920P60,0,0,-.852,.044,-.007,.058,-.117,20.73%,6.53,60.60%,12.20%,87.59%,3.02%,<empty>,6.525,562 x 185,562,185,<empty>,0,0, ,0,0,12.41%,25.48%,,

15 NOV 19  (137)  100
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG191115C37,0,0,.892,.006,-.008,.050,.048,48.62%,17.25,<empty>,<empty>,86.52%,2.02%,2.02%,17.250,48 x 48,48,48,<empty>,0,0, ,0,0,13.48%,25.15%,15.55,B,18.95,B,15 NOV 19,37,.06,X,.50,X,AIG191115P37,0,22,-.047,.008,-.005,.033,-.010,39.39%,.28004007,7.57%,0.76%,7.69%,1.38%,<empty>,.280,323 x 424,323,424,0.00%,.40,.40,C,0,0,92.31%,14.60%,,
,,AIG191115C38,0,0,.909,.005,-.006,.043,.035,39.50%,15.97,<empty>,<empty>,90.52%,0.66%,0.66%,15.975,48 x 48,48,48,<empty>,0,0, ,0,0,9.48%,17.97%,14.05,B,17.90,B,15 NOV 19,38,.10,X,.45,X,AIG191115P38,0,87,-.049,.008,-.005,.034,-.011,36.92%,.27502538,7.24%,0.73%,7.78%,1.35%,<empty>,.275,244 x 352,244,352,0.00%,.72,.72,B,0,0,92.22%,14.82%,,
,,AIG191115C39,0,0,.902,.007,-.006,.048,.048,39.24%,15.10,<empty>,<empty>,88.77%,1.28%,1.28%,15.100,48 x 48,48,48,<empty>,0,0, ,0,0,11.23%,21.26%,13.30,B,16.90,B,15 NOV 19,39,.17,X,.25,M,AIG191115P39,0,12,-.044,.009,-.004,.031,-.010,32.70%,.21037377,5.38%,0.54%,6.66%,1.03%,<empty>,.210,61 x 64,61,64,0.00%,1.39,1.39,Z,0,0,93.34%,12.76%,,
,,AIG191115C40,0,5,.896,.009,-.006,.051,.056,37.82%,14.17,<empty>,<empty>,87.70%,1.65%,1.65%,14.175,48 x 48,48,48,0.00%,7.55,7.55,H,0,0,12.30%,23.30%,13.85,B,14.50,B,15 NOV 19,40,.22,B,.28,H,AIG191115P40,0,66,-.052,.010,-.004,.035,-.011,31.74%,.25026029,6.25%,0.63%,7.74%,1.23%,<empty>,.250,62 x 54,62,54,0.00%,.34,.34,X,0,0,92.26%,14.83%,,
,,AIG191115C41,0,8,.882,.011,-.008,.059,.068,38.14%,13.35,<empty>,<empty>,85.15%,2.51%,2.51%,13.350,48 x 48,48,48,0.00%,4.70,4.70,Q,0,0,14.85%,28.05%,13.00,B,13.70,B,15 NOV 19,41,.26,B,.34,X,AIG191115P41,0,11,-.063,.012,-.005,.041,-.014,30.87%,.30005972,7.32%,0.74%,9.04%,1.47%,<empty>,.300,52 x 121,52,121,0.00%,.64,.64,N,0,0,90.96%,17.32%,,
,,AIG191115C42,0,"1,257",.875,.013,-.008,.062,.074,36.14%,12.40,<empty>,<empty>,84.25%,2.75%,2.75%,12.400,52 x 59,52,59,0.00%,12.44,12.44,I,0,0,15.75%,29.81%,11.95,X,12.85,X,15 NOV 19,42,.31,X,.39,I,AIG191115P42,0,638,-.074,.014,-.005,.046,-.016,29.81%,.35005132,8.33%,0.84%,10.36%,1.72%,<empty>,.350,101 x 82,101,82,0.00%,.80,.80,P,0,0,89.64%,19.86%,,
,,AIG191115C43,0,52,.869,.015,-.007,.065,.079,33.77%,11.43,<empty>,<empty>,83.57%,2.88%,2.88%,11.425,48 x 48,48,48,0.00%,8.35,8.35,E,0,0,16.43%,31.18%,11.10,B,11.75,B,15 NOV 19,43,.40,P,.46,H,AIG191115P43,0,101,-.089,.017,-.006,.053,-.019,29.16%,.43011724,10.00%,1.01%,12.27%,2.11%,<empty>,.430,20 x 49,20,49,0.00%,.55,.55,Q,0,0,87.73%,23.50%,,
,,AIG191115C44,0,44,.853,.018,-.008,.072,.086,32.86%,10.55,<empty>,<empty>,81.48%,3.49%,3.49%,10.550,52 x 288,52,288,0.00%,3.65,3.65,Q,0,0,18.52%,35.12%,10.35,H,10.75,X,15 NOV 19,44,.48,X,.54,Z,AIG191115P44,0,20,-.105,.019,-.006,.060,-.023,28.26%,.50999962,11.59%,1.17%,14.18%,2.51%,<empty>,.510,46 x 18,46,18,0.00%,.62,.62,C,0,0,85.82%,27.16%,,
,,AIG191115C45,0,237,.843,.021,-.008,.075,.091,30.48%,9.57,<empty>,<empty>,80.54%,3.61%,3.61%,9.575,168 x 161,168,161,0.00%,9.55,9.55,N,0,0,19.46%,37.01%,9.40,X,9.75,X,15 NOV 19,45,.59,H,.65,I,AIG191115P45,0,530,-.126,.023,-.007,.069,-.027,27.60%,.61999705,13.78%,1.40%,16.62%,3.05%,<empty>,.620,69 x 47,69,47,0.00%,1.03,1.03,A,0,0,83.38%,31.80%,,
,,AIG191115C46,0,17,.822,.025,-.008,.083,.097,29.65%,8.73,<empty>,<empty>,77.93%,4.35%,4.35%,8.725,141 x 141,141,141,0.00%,2.38,2.38,N,0,0,22.07%,41.97%,8.55,B,8.90,B,15 NOV 19,46,.72,X,.79,M,AIG191115P46,0,98,-.151,.026,-.008,.077,-.032,27.01%,.75515324,16.41%,1.67%,19.43%,3.71%,<empty>,.755,71 x 46,71,46,0.00%,.98,.98,C,0,0,80.57%,37.15%,,
,,AIG191115C47,0,59,.798,.028,-.009,.090,.101,28.60%,7.88,<empty>,<empty>,75.24%,5.09%,5.09%,7.875,141 x 242,141,242,0.00%,7.75,7.75,Z,0,0,24.76%,47.07%,7.75,B,8.00,X,15 NOV 19,47,.85,X,.99,X,AIG191115P47,0,"1,074",-.179,.030,-.008,.086,-.038,26.48%,.92007135,19.57%,2.00%,22.65%,4.52%,<empty>,.920,59 x 127,59,127,0.00%,1.07,1.07,Q,0,0,77.35%,43.25%,,
,,AIG191115C48,1,74,.770,.032,-.009,.098,.104,27.61%,7.05,<empty>,<empty>,72.20%,5.95%,5.95%,7.050,72 x 172,72,172,-12.00%,6.60,6.60,P,6.60,6.60,27.80%,52.84%,6.95,H,7.15,X,15 NOV 19,48,1.05,C,1.18,X,AIG191115P48,0,533,-.211,.034,-.009,.095,-.045,25.96%,1.12,22.63%,2.38%,26.21%,5.48%,<empty>,1.115,31 x 124,31,124,0.00%,1.30,1.30,N,0,0,73.79%,50.00%,,
